timestamp,track_id,raw_score,smoothed_val,voting_ready,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1786535630.0922613,3,0.8189,0.8189,True,0,52,377,474
1786535630.3048553,3,0.849,0.8279,True,1,50,347,473
1786535630.4016407,3,0.8374,0.8308,True,0,46,330,474
1786535630.4953444,3,0.7895,0.8184,True,0,47,314,474
1786535630.5904057,3,0.7844,0.8082,True,0,50,298,474
1786535630.686496,3,0.8109,0.809,True,0,47,263,473
1786535630.7826045,3,0.843,0.8192,True,0,47,246,474
1786535630.8623204,3,0.8546,0.8298,True,0,50,239,473
1786535630.959144,3,0.8784,0.8444,True,0,52,239,473
1786535631.055066,3,0.8803,0.8552,True,0,55,237,473
1786535631.1505518,3,0.8478,0.853,True,0,57,243,473
1786535631.2428532,3,0.8573,0.8543,True,1,60,252,473
1786535631.3429527,3,0.9032,0.869,True,0,66,272,474
1786535631.3429527,4,0.8025,0.8025,True,251,44,582,464
1786535631.4709845,3,0.8249,0.8557,True,1,72,284,472
1786535631.4709845,4,0.8252,0.8093,True,165,49,510,471
1786535631.5989027,4,0.8544,0.8229,True,101,39,481,470
1786535631.7112315,4,0.8659,0.8358,True,65,31,440,472
1786535631.8199785,4,0.8633,0.844,True,34,26,328,475
1786535631.9157834,4,0.8352,0.8414,True,1,31,266,475
1786535632.0165486,4,0.7947,0.8274,True,0,35,211,475
1786535632.1269011,4,0.7821,0.8138,True,0,33,174,475
1786535632.1269011,6,0.9126,0.9126,True,172,88,445,470
1786535632.223567,4,0.6382,0.7611,True,0,28,108,475
1786535632.223567,6,0.8922,0.9065,True,131,100,434,473
1786535632.33395,6,0.9217,0.9111,True,180,105,434,474
1786535632.4467146,6,0.902,0.9084,True,213,99,481,475
1786535632.5436625,6,0.9155,0.9105,True,222,98,482,474
1786535632.6344433,6,0.913,0.9113,True,228,100,464,474
1786535632.6344433,7,0.7174,0.7174,True,0,221,131,475
1786535632.735778,6,0.9214,0.9143,True,235,98,459,474
1786535632.735778,7,0.7303,0.7213,True,0,221,132,475
1786535632.8315296,6,0.9161,0.9148,True,237,97,467,474
1786535632.8315296,7,0.7144,0.7192,True,0,221,130,475
1786535632.9274592,6,0.9084,0.9129,True,237,98,477,474
1786535632.9274592,7,0.6843,0.7088,True,0,223,130,475
1786535633.0214498,6,0.9292,0.9178,True,236,99,466,474
1786535633.0214498,7,0.7153,0.7107,True,0,221,131,475
